API,coformer,result,classification,ΔpKa
74638-76-9,110-15-6,cocrystal dihydrate 2:1,hydrate,0.798
74638-76-9,110-17-8,salt dihydrate 2:1,hydrate,1.891
74638-76-9,124-04-9,cocrystal dihydrate 2:1,hydrate,0.652
74638-76-9,65-85-0,cocrystal monohydrate 1:1,hydrate,0.841
74638-76-9,86-48-6,salt monohydrate 1:1,hydrate,2.019
74638-76-9,99-96-7,no,failed,0.471
74638-76-9,150-13-0,cocrystal dihydrate 1:1,hydrate,0.181
74638-76-9,88-99-3,salt 1:1,salt,2.092
74638-76-9,121-91-5,no,failed,1.512
74638-76-9,69-72-7,salt monohydrate 1:1,hydrate,2.037
74638-76-9,10312-55-7,cocrystal dihydrate 2:1,hydrate,1.091
74638-76-9,99-50-3,cocrystal dihydrate 1:1,hydrate,0.591
74638-76-9,100-21-0,no,hydrate,1.552
74638-76-9,65-49-6,no,failed,1.466
74638-76-9,89-86-1,,hydrate,1.718
74638-76-9,87-69-4,salt 1:1,salt,1.972
74638-76-9,24280-93-1,no,failed,0.331
74638-76-9,144060-53-7,no,failed,2.563
74638-76-9,120-18-3,salt dihydrate 1:1,hydrate,4.773
74638-76-9,118-90-1,,failed,1.096
74638-76-9,98-73-7,no,failed,0.641
74638-76-9,51-36-5,,cocrystal,1.581
74638-76-9,50-85-1,salt 1:1,hydrate,1.873
74638-76-9,81-04-9,,hydrate,5.642
74638-76-9,618-83-7,,hydrate,1.632
74638-76-9,527-72-0,salt dihydrate 1:1,hydrate,1.533
74638-76-9,156-38-7,,hydrate,0.54
74638-76-9,51-44-5,,hydrate,1.441
74638-76-9,50-84-0,,salt,2.36
74638-76-9,303-07-1,salt monohydrate 1:1,hydrate,2.119
74638-76-9,491-11-2,no,failed,-1.278
74638-76-9,499-83-2,,cocrystal,2.339
55921-65-8,110-15-6,salt,salt,0.874
55921-65-8,110-17-8,no,salt,1.967
55921-65-8,124-04-9,salt,salt,0.728
55921-65-8,65-85-0,,cocrystal,0.917
55921-65-8,86-48-6,ionic cocrystal,cocrystal,2.095
55921-65-8,99-96-7,no,failed,0.547
55921-65-8,150-13-0,no,failed,0.257
55921-65-8,88-99-3,,salt,2.168
55921-65-8,121-91-5,ionic cocrystal trihydrate,hydrate,1.588
55921-65-8,69-72-7,,hydrate,2.113
55921-65-8,10312-55-7,salt,salt,1.167
55921-65-8,99-50-3,no,failed,0.667
55921-65-8,100-21-0,salt,salt,1.628
55921-65-8,65-49-6,ionic cocrystal pentahydrate,hydrate,1.542
55921-65-8,89-86-1,no,failed,1.794
55921-65-8,87-69-4,ionic cocrystal,cocrystal,2.048
55921-65-8,24280-93-1,,failed,0.407
55921-65-8,144060-53-7,salt,salt,2.639
55921-65-8,120-18-3,no,hydrate,4.849
55921-65-8,118-90-1,,failed,1.172
55921-65-8,98-73-7,,salt,0.717
55921-65-8,51-36-5,salt,salt,1.657
55921-65-8,50-85-1,,hydrate,1.949
55921-65-8,81-04-9,salt monohydrate,hydrate,5.718
55921-65-8,618-83-7,no,failed,1.708
55921-65-8,527-72-0,cocrystal,cocrystal,1.609
55921-65-8,156-38-7,salt,salt,0.616
55921-65-8,51-44-5,,cocrystal,1.517
55921-65-8,50-84-0,no,failed,2.436
55921-65-8,303-07-1,,cocrystal,2.195
55921-65-8,491-11-2,no,failed,-1.202
55921-65-8,499-83-2,ionic cocrystal,cocrystal,2.415
