reactant_A,reactant_B,label_str,label_int,identifier
OC(=O)c1ccccc1,Nc1cc(nc(N)[n]1[O])N1CCCCC1,cocrystal,2,NUYSIK
COc1c(C)c2COC(=O)c2c(O)c1CC=C(C)CCC(O)=O,NC1=CC(=NC(=[NH2])N1[O])N1CCCCC1,cocrystal,2,XAVTOG
Nc1cc(nc(N)[n]1[O])N1CCCCC1,OC(=O)C1=CC=CS1,cocrystal,2,BOFVUR
Nc1cc(nc(N)[n]1[O])N1CCCCC1,OC(=O)c1ccc(Cl)c(Cl)c1,cocrystal,2,BOFWEC
OC(=O)c1ccc(cc1)C(O)=O,Nc1cc(nc(N)[n]1[O])N1CCCCC1,cocrystal,2,WIYXEL
N=C1N=C(N2CCCCC2)C=C(N)N1O,N[C@@H](CC1=CC=C(O)C=C1)C(=O)O,failed,0,
N=C1N=C(N2CCCCC2)C=C(N)N1O,NCC(=O)O,failed,0,
N=C1N=C(N2CCCCC2)C=C(N)N1O,NC(N)=NCCC[C@H](N)C(=O)O,failed,0,
N=C1N=C(N2CCCCC2)C=C(N)N1O,CCCCCCCCCCCCCCCC(=O)O,failed,0,
N=C1N=C(N2CCCCC2)C=C(N)N1O,CSCC[C@H](N)C(=O)O,failed,0,
Nc1cc(nc(N)[n]1[O])N1CCCCC1,Cc1ccc(C(O)=O)c(O)c1,hydrate,3,WIYWUA
OC(C(O)C(=O)[O])C(=O)[O],Nc1cc(nc(N)[n]1O)N1CCCCC1,hydrate,3,NUYRAB
Clc1cc(Cl)cc(c1)C(=O)[O],Nc1[nH]c(cc(N)[n]1[O])N1CCCCC1,hydrate,3,WIYWOU
Nc1cc(nc(N)[n]1[O])N1CCCCC1,OC(=O)c1cc(O)cc(c1)C(O)=O,hydrate,3,WIYXIP
O=S(=O)([O])c1ccc2ccccc2c1,Nc1[nH]c(cc(N)[n]1[O])N1CCCCC1,hydrate,3,WIYWAG
OC(=O)c1ccccc1C(=O)[O],Nc1cc(nc(N)[n]1O)N1CCCCC1,salt,1,CAYJUL
Oc1ccc(c(O)c1)C(=O)[O],Nc1cc(nc(N)[n]1O)N1CCCCC1,salt,1,UDABOU
O=C([O])CCCCC(=O)[O],Nc1cc(nc(N)[n]1O)N1CCCCC1,salt,1,NUYROP
O=C([O])c1cccc(c1)C(=O)[O],Nc1cc(nc(N)[n]1O)N1CCCCC1,salt,1,CAYJOF
Oc1ccc(CC(=O)[O])cc1,Nc1cc(nc(N)[n]1O)N1CCCCC1,salt,1,BOFWAY
Nc1cc(nc(N)[n]1[O])N1CCCCC1,OC(=O)c1ccccc1,cocrystal,2,NUYSIK
NC1=CC(=NC(=[NH2])N1[O])N1CCCCC1,COc1c(C)c2COC(=O)c2c(O)c1CC=C(C)CCC(O)=O,cocrystal,2,XAVTOG
OC(=O)C1=CC=CS1,Nc1cc(nc(N)[n]1[O])N1CCCCC1,cocrystal,2,BOFVUR
OC(=O)c1ccc(Cl)c(Cl)c1,Nc1cc(nc(N)[n]1[O])N1CCCCC1,cocrystal,2,BOFWEC
Nc1cc(nc(N)[n]1[O])N1CCCCC1,OC(=O)c1ccc(cc1)C(O)=O,cocrystal,2,WIYXEL
N[C@@H](CC1=CC=C(O)C=C1)C(=O)O,N=C1N=C(N2CCCCC2)C=C(N)N1O,failed,0,
NCC(=O)O,N=C1N=C(N2CCCCC2)C=C(N)N1O,failed,0,
NC(N)=NCCC[C@H](N)C(=O)O,N=C1N=C(N2CCCCC2)C=C(N)N1O,failed,0,
CCCCCCCCCCCCCCCC(=O)O,N=C1N=C(N2CCCCC2)C=C(N)N1O,failed,0,
CSCC[C@H](N)C(=O)O,N=C1N=C(N2CCCCC2)C=C(N)N1O,failed,0,
Cc1ccc(C(O)=O)c(O)c1,Nc1cc(nc(N)[n]1[O])N1CCCCC1,hydrate,3,WIYWUA
Nc1cc(nc(N)[n]1O)N1CCCCC1,OC(C(O)C(=O)[O])C(=O)[O],hydrate,3,NUYRAB
