reactant_A,reactant_B,label_str,label_int,identifier
Nc1cc(nc(N)[n]1O)N1CCCCC1,OC(=O)c1ccc2ccccc2c1O,salt,1,NUYSAC
Nc1cc(nc(N)[n]1O)N1CCCCC1,Oc1ccc(cc1)C(=O)[O],cocrystal,2,NUYRUV
Nc1cc(nc(N)[n]1O)N1CCCCC1,Nc1cc(nc(N)[n]1O)N1CCCCC1,salt,1,CAYKAS
Nc1cc(nc(N)[n]1O)N1CCCCC1,Nc1cc(nc(N)[n]1[O])N1CCCCC1,cocrystal,2,CAYKEW
Nc1cc(nc(N)[n]1O)N1CCCCC1,Nc1cc(nc(N)[n]1[O])N1CCCCC1,salt,1,NUYSEG
Cc1ccccc1C(=O)[O],Cc1ccccc1C(O)=O,cocrystal,2,WIYWEK
Nc1[nH]c(cc(N)[n]1[O])N1CCCCC1,OC(=O)c1c(O)cccc1O,salt,1,BOFWOM
Clc1cc(ccc1[O])N(=O)=O,Nc1cc(nc(N)[n]1O)N1CCCCC1,cocrystal,2,BOFWUS
OC(=O)c1ccc2ccccc2c1O,Nc1cc(nc(N)[n]1O)N1CCCCC1,salt,1,NUYSAC
Oc1ccc(cc1)C(=O)[O],Nc1cc(nc(N)[n]1O)N1CCCCC1,cocrystal,2,NUYRUV
Nc1cc(nc(N)[n]1O)N1CCCCC1,Nc1cc(nc(N)[n]1O)N1CCCCC1,salt,1,CAYKAS
Nc1cc(nc(N)[n]1[O])N1CCCCC1,Nc1cc(nc(N)[n]1O)N1CCCCC1,cocrystal,2,CAYKEW
Nc1cc(nc(N)[n]1[O])N1CCCCC1,Nc1cc(nc(N)[n]1O)N1CCCCC1,salt,1,NUYSEG
Cc1ccccc1C(O)=O,Cc1ccccc1C(=O)[O],cocrystal,2,WIYWEK
OC(=O)c1c(O)cccc1O,Nc1[nH]c(cc(N)[n]1[O])N1CCCCC1,salt,1,BOFWOM
Nc1cc(nc(N)[n]1O)N1CCCCC1,Clc1cc(ccc1[O])N(=O)=O,cocrystal,2,BOFWUS
