reactant_B,reactant_A,label_str,label_int,identifier
O=C(O)CCC(=O)O,Nc1ccnc(N)[n+]1[O-],hydrate,3,
O=C(O)/C=C/C(=O)O,Nc1ccnc(N)[n+]1[O-],hydrate,3,
O=C(O)CCCCC(=O)O,Nc1ccnc(N)[n+]1[O-],hydrate,3,
O=C(O)c1ccccc1,Nc1ccnc(N)[n+]1[O-],hydrate,3,
O=C(O)c1ccc2ccccc2c1O,Nc1ccnc(N)[n+]1[O-],hydrate,3,
O=C(O)c1ccc(O)cc1,Nc1ccnc(N)[n+]1[O-],failed,0,
Nc1ccc(C(=O)O)cc1,Nc1ccnc(N)[n+]1[O-],hydrate,3,
O=C(O)c1ccccc1C(=O)O,Nc1ccnc(N)[n+]1[O-],salt,1,
O=C(O)c1cccc(C(=O)O)c1,Nc1ccnc(N)[n+]1[O-],failed,0,
O=C(O)c1ccccc1O,Nc1ccnc(N)[n+]1[O-],hydrate,3,
Nc1cc(C(=O)O)ccc1C(=O)O,Nc1ccnc(N)[n+]1[O-],hydrate,3,
O=C(O)c1ccc(O)c(O)c1,Nc1ccnc(N)[n+]1[O-],hydrate,3,
O=C(O)c1ccc(C(=O)O)cc1,Nc1ccnc(N)[n+]1[O-],hydrate,3,
Nc1ccc(C(=O)O)c(O)c1,Nc1ccnc(N)[n+]1[O-],failed,0,
O=C(O)c1ccc(O)cc1O,Nc1ccnc(N)[n+]1[O-],hydrate,3,
O=C(O)[C@@H](O)[C@@H](O)C(=O)O,Nc1ccnc(N)[n+]1[O-],salt,1,
COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2,Nc1ccnc(N)[n+]1[O-],failed,0,
Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,Nc1ccnc(N)[n+]1[O-],failed,0,
O=S(=O)(O)c1ccc2ccccc2c1,Nc1ccnc(N)[n+]1[O-],hydrate,3,
Cc1ccccc1C(=O)O,Nc1ccnc(N)[n+]1[O-],failed,0,
CC(C)(C)c1ccc(C(=O)O)cc1,Nc1ccnc(N)[n+]1[O-],failed,0,
O=C(O)c1cc(Cl)cc(Cl)c1,Nc1ccnc(N)[n+]1[O-],cocrystal,2,
Cc1ccc(C(=O)O)c(O)c1,Nc1ccnc(N)[n+]1[O-],hydrate,3,
O=S(=O)(O)c1cccc2c(S(=O)(=O)O)cccc12,Nc1ccnc(N)[n+]1[O-],hydrate,3,
O=C(O)c1cc(O)cc(C(=O)O)c1,Nc1ccnc(N)[n+]1[O-],hydrate,3,
