identifier,label_str,label_int
ABACOX,salt,1
ABADAK,salt,1
ABADOY,salt,1
ABADUD,cocrystal,2
ABAFIU,salt,1
ABAGER,salt,1
ABAJAQ,salt,1
ABAKOF,salt,1
ABAMAV,solvate,4
ABAQEB,salt,1
ABDECO10,cocrystal,2
ABEBUF,cocrystal,2
ABEHOF,salt,1
ABEJUN,solvate,4
ABEKUN,cocrystal,2
ABELAU,cocrystal,2
ABELEY,cocrystal,2
ABELIC,cocrystal,2
ABELUP,salt,1
ABEQIH,hydrate,3
ABEQIL,salt,1
ABEQON,salt,1
ABERAB,hydrate,3
ABIROW,salt,1
ABIRUC,hydrate,3
ABISAJ,solvate,4
ABISEN,hydrate,3
ABISIR,salt,1
ABISOX,solvate,4
ABISUD,solvate,4
ABITAK,cocrystal,2
ABITEO,salt,1
ABOQUF,cocrystal,2
ABORAM,cocrystal,2
ABORAO,hydrate,3
ABOTUK,cocrystal,2
ABOVAS,cocrystal,2
ABOVEW,cocrystal,2
ABOVIA,cocrystal,2
ABUHIO,cocrystal,2
ABUHOU,hydrate,3
ABUHUA,salt,1
ABUHUD,salt,1
ABUJUE,salt,1
ABUJUF,hydrate,3
ABUKEP,salt,1
ABUKIT,salt,1
ABUKOZ,salt,1
ABUKUF,salt,1
ABULAM,salt,1
ABULEQ,cocrystal,2
ABULIU,hydrate,3
ABUMIX,salt,1
ABUNAM,cocrystal,2
ABUNIU,cocrystal,2
ABUNOA,cocrystal,2
ABUNUG,cocrystal,2
ABUPES,cocrystal,2
ABUQAR,salt,1
ABUWAY,hydrate,3
ABUWEC,salt,1
ACABUD,salt,1
ACACAK,salt,1
ACACIS,hydrate,3
ACACOY,salt,1
ACACUC,salt,1
ACACUE,salt,1
ACADAJ,salt,1
ACAFOD,salt,1
ACAGAN,cocrystal,2
ACAHUK,solvate,4
ACARBM,salt,1
ACASUL,salt,1
ACAXAD,salt,1
ACAYIM,hydrate,3
ACELOK,salt,1
ACERAD,cocrystal,2
ACEREH,cocrystal,2
ACEREJ,hydrate,3
ACERUX,hydrate,3
ACESAE,cocrystal,2
ACESEI,cocrystal,2
ACESIL,cocrystal,2
ACESIM,hydrate,3
ACESOS,hydrate,3
ACETAF,cocrystal,2
ACETEJ,cocrystal,2
ACETFS,salt,1
ACETIN,salt,1
ACETOT,salt,1
ACEWIP,salt,1
ACEYEN,hydrate,3
ACEYUD,hydrate,3
ACIFAT,salt,1
ACIKIH,hydrate,3
ACIRIO,salt,1
ACMNPH,cocrystal,2
ACNTCB,cocrystal,2
ACNTCQ,cocrystal,2
ACOFAC,cocrystal,2
ACOGII,cocrystal,2
ACOGOO,cocrystal,2
ACOJIO,cocrystal,2
ACOJOU,salt,1
ACOJUA,salt,1
ACOMEN,salt,1
ACOMOW,cocrystal,2
ACOMUC,cocrystal,2
ACONIR,cocrystal,2
