external_index,source_row,reactant_A,reactant_B,label_str,label_int,identifier,pair_key,split,holdout_feature_index,fine_tune_forward_feature_index,fine_tune_reverse_feature_index,reference_forward_fingerprint
0,2,Nc1ccnc(N)[n+]1[O-],O=C(O)CCC(=O)O,hydrate,3,,"[""Nc1ccnc(N)[n+]1[O-]"",""O=C(O)CCC(=O)O""]",holdout,0,,,ff2c3c9429063a5fce697fd46edd9e4d43f5a3b7deaab9ed0adf87a23fecaa15
1,3,Nc1ccnc(N)[n+]1[O-],O=C(O)/C=C/C(=O)O,hydrate,3,,"[""Nc1ccnc(N)[n+]1[O-]"",""O=C(O)/C=C/C(=O)O""]",holdout,1,,,21b856d8b9d39a862906ea1d56fedd66ab7bb6d5d5997b580423ff14ec56a3a6
2,4,Nc1ccnc(N)[n+]1[O-],O=C(O)CCCCC(=O)O,hydrate,3,,"[""Nc1ccnc(N)[n+]1[O-]"",""O=C(O)CCCCC(=O)O""]",holdout,2,,,d4bf51df1f6c089b21790159c844380408784a9cfdcc0dc6a9016165df41da45
3,5,Nc1ccnc(N)[n+]1[O-],O=C(O)c1ccccc1,hydrate,3,,"[""Nc1ccnc(N)[n+]1[O-]"",""O=C(O)c1ccccc1""]",holdout,3,,,f029ee6cf22ba2fcad7cf9b677e2769639deff0b2c94d84deafbddde5a0390e9
4,6,Nc1ccnc(N)[n+]1[O-],O=C(O)c1ccc2ccccc2c1O,hydrate,3,,"[""Nc1ccnc(N)[n+]1[O-]"",""O=C(O)c1ccc2ccccc2c1O""]",holdout,4,,,c0a78914865ce5c3b91913e245b0b57e8db7f03dda1b2df7e2ff74976e9abc7a
5,7,Nc1ccnc(N)[n+]1[O-],O=C(O)c1ccc(O)cc1,failed,0,,"[""Nc1ccnc(N)[n+]1[O-]"",""O=C(O)c1ccc(O)cc1""]",fine_tune,,40,54,f189d3857607d271a0cd61a5cb166cb05e9c89ea1f7dd99ccad9f90ae480e8aa
6,8,Nc1ccnc(N)[n+]1[O-],Nc1ccc(C(=O)O)cc1,hydrate,3,,"[""Nc1ccc(C(=O)O)cc1"",""Nc1ccnc(N)[n+]1[O-]""]",fine_tune,,41,55,2faefdb82e2c9a55a26fe1b57da2cfc9375dd069900dff19e57f366b9c68eca8
7,9,Nc1ccnc(N)[n+]1[O-],O=C(O)c1ccccc1C(=O)O,salt,1,,"[""Nc1ccnc(N)[n+]1[O-]"",""O=C(O)c1ccccc1C(=O)O""]",fine_tune,,42,56,5935fd0bc085cdbb2fc13c3175042068dfc9eadb4b21b3d71ed1b9fd18b37212
8,10,Nc1ccnc(N)[n+]1[O-],O=C(O)c1cccc(C(=O)O)c1,failed,0,,"[""Nc1ccnc(N)[n+]1[O-]"",""O=C(O)c1cccc(C(=O)O)c1""]",fine_tune,,43,57,1941806330f22b326d5254b9276e7f8b6702fb465164f79a4aa713c2db4a666c
9,11,Nc1ccnc(N)[n+]1[O-],O=C(O)c1ccccc1O,hydrate,3,,"[""Nc1ccnc(N)[n+]1[O-]"",""O=C(O)c1ccccc1O""]",holdout,5,,,5a938fc52e4c3bf2e7970de6c9a6a3f4c521e5d4d768d292c79f25f583811f5c
