lock_id,source_dataset,source_index,reactant_A_legacy,reactant_B_legacy,label_str,label_int,identifier,model_pair_key,structure_status
minoxidil-00,minoxidil_20,0,OC(=O)c1ccc(cc1)C(O)=O,Nc1cc(nc(N)[n]1[O])N1CCCCC1,cocrystal,2,WIYXEL,,requires_ccdc_reexport
minoxidil-01,minoxidil_20,1,Nc1cc(nc(N)[n]1[O])N1CCCCC1,OC(=O)c1ccc(Cl)c(Cl)c1,cocrystal,2,BOFWEC,,requires_ccdc_reexport
minoxidil-02,minoxidil_20,2,COc1c(C)c2COC(=O)c2c(O)c1CC=C(C)CCC(O)=O,NC1=CC(=NC(=[NH2])N1[O])N1CCCCC1,cocrystal,2,XAVTOG,,requires_ccdc_reexport
minoxidil-03,minoxidil_20,3,OC(=O)c1ccccc1,Nc1cc(nc(N)[n]1[O])N1CCCCC1,cocrystal,2,NUYSIK,,requires_ccdc_reexport
minoxidil-04,minoxidil_20,4,Nc1cc(nc(N)[n]1[O])N1CCCCC1,OC(=O)C1=CC=CS1,cocrystal,2,BOFVUR,,requires_ccdc_reexport
minoxidil-05,minoxidil_20,5,N=C1N=C(N2CCCCC2)C=C(N)N1O,CSCC[C@H](N)C(=O)O,failed,0,,"[""CSCC[C@H](N)C(=O)O"",""N=c1nc(N2CCCCC2)cc(N)n1O""]",ready_rdkit
minoxidil-06,minoxidil_20,6,N=C1N=C(N2CCCCC2)C=C(N)N1O,N[C@@H](CC(=O)O)C(=O)O,failed,0,,"[""N=c1nc(N2CCCCC2)cc(N)n1O"",""N[C@@H](CC(=O)O)C(=O)O""]",ready_rdkit
minoxidil-07,minoxidil_20,7,N=C1N=C(N2CCCCC2)C=C(N)N1O,N[C@@H](CC1=CC=C(O)C=C1)C(=O)O,failed,0,,"[""N=c1nc(N2CCCCC2)cc(N)n1O"",""N[C@@H](Cc1ccc(O)cc1)C(=O)O""]",ready_rdkit
minoxidil-08,minoxidil_20,8,N=C1N=C(N2CCCCC2)C=C(N)N1O,CCCCCCCCCCCCCCCC(=O)O,failed,0,,"[""CCCCCCCCCCCCCCCC(=O)O"",""N=c1nc(N2CCCCC2)cc(N)n1O""]",ready_rdkit
minoxidil-09,minoxidil_20,9,N=C1N=C(N2CCCCC2)C=C(N)N1O,N[C@@H](CC1=CC=CC=C1)C(=O)O,failed,0,,"[""N=c1nc(N2CCCCC2)cc(N)n1O"",""N[C@@H](Cc1ccccc1)C(=O)O""]",ready_rdkit
minoxidil-10,minoxidil_20,10,OC(=O)c1cccc(n1)C(=O)[O],Nc1cc(nc(N)[n]1O)N1CCCCC1,hydrate,3,BOFXAZ,,requires_ccdc_reexport
minoxidil-11,minoxidil_20,11,Nc1cc(nc(N)[n]1[O])N1CCCCC1,OC(=O)c1cc(O)cc(c1)C(O)=O,hydrate,3,WIYXIP,,requires_ccdc_reexport
minoxidil-12,minoxidil_20,12,O=C([O])CCC(=O)[O],Nc1cc(nc(N)[n]1O)N1CCCCC1,hydrate,3,NUYRIJ,,requires_ccdc_reexport
minoxidil-13,minoxidil_20,13,Nc1cc(nc(N)[n]1[O])N1CCCCC1,Cc1ccc(C(O)=O)c(O)c1,hydrate,3,WIYWUA,,requires_ccdc_reexport
minoxidil-14,minoxidil_20,14,O=C([O])C=CC(=O)[O],Nc1cc(nc(N)[n]1O)N1CCCCC1,hydrate,3,NUYREF,,requires_ccdc_reexport
minoxidil-15,minoxidil_20,15,OC(=O)c1ccccc1C(=O)[O],Nc1cc(nc(N)[n]1O)N1CCCCC1,salt,1,CAYJUL,,requires_ccdc_reexport
minoxidil-16,minoxidil_20,16,O=C([O])c1cccc(c1)C(=O)[O],Nc1cc(nc(N)[n]1O)N1CCCCC1,salt,1,CAYJOF,,requires_ccdc_reexport
minoxidil-17,minoxidil_20,17,Oc1ccc(c(O)c1)C(=O)[O],Nc1cc(nc(N)[n]1O)N1CCCCC1,salt,1,UDABOU,,requires_ccdc_reexport
minoxidil-18,minoxidil_20,18,Oc1ccc(CC(=O)[O])cc1,Nc1cc(nc(N)[n]1O)N1CCCCC1,salt,1,BOFWAY,,requires_ccdc_reexport
minoxidil-19,minoxidil_20,19,O=C([O])CCCCC(=O)[O],Nc1cc(nc(N)[n]1O)N1CCCCC1,salt,1,NUYROP,,requires_ccdc_reexport
external-05,external_64,5,Nc1ccnc(N)[n+]1[O-],O=C(O)c1ccc(O)cc1,failed,0,,"[""Nc1ccnc(N)[n+]1[O-]"",""O=C(O)c1ccc(O)cc1""]",ready_rdkit
external-06,external_64,6,Nc1ccnc(N)[n+]1[O-],Nc1ccc(C(=O)O)cc1,hydrate,3,,"[""Nc1ccc(C(=O)O)cc1"",""Nc1ccnc(N)[n+]1[O-]""]",ready_rdkit
external-07,external_64,7,Nc1ccnc(N)[n+]1[O-],O=C(O)c1ccccc1C(=O)O,salt,1,,"[""Nc1ccnc(N)[n+]1[O-]"",""O=C(O)c1ccccc1C(=O)O""]",ready_rdkit
external-08,external_64,8,Nc1ccnc(N)[n+]1[O-],O=C(O)c1cccc(C(=O)O)c1,failed,0,,"[""Nc1ccnc(N)[n+]1[O-]"",""O=C(O)c1cccc(C(=O)O)c1""]",ready_rdkit
external-12,external_64,12,Nc1ccnc(N)[n+]1[O-],O=C(O)c1ccc(C(=O)O)cc1,hydrate,3,,"[""Nc1ccnc(N)[n+]1[O-]"",""O=C(O)c1ccc(C(=O)O)cc1""]",ready_rdkit
external-21,external_64,21,Nc1ccnc(N)[n+]1[O-],O=C(O)c1cc(Cl)cc(Cl)c1,cocrystal,2,,"[""Nc1ccnc(N)[n+]1[O-]"",""O=C(O)c1cc(Cl)cc(Cl)c1""]",ready_rdkit
external-28,external_64,28,Nc1ccnc(N)[n+]1[O-],O=C(O)c1ccc(Cl)cc1Cl,salt,1,,"[""Nc1ccnc(N)[n+]1[O-]"",""O=C(O)c1ccc(Cl)cc1Cl""]",ready_rdkit
external-42,external_64,42,Nc1cc(N2CCCC2)nc(N)[n+]1[O-],Nc1cc(C(=O)O)ccc1C(=O)O,salt,1,,"[""Nc1cc(C(=O)O)ccc1C(=O)O"",""Nc1cc(N2CCCC2)nc(N)[n+]1[O-]""]",ready_rdkit
external-45,external_64,45,Nc1cc(N2CCCC2)nc(N)[n+]1[O-],Nc1ccc(C(=O)O)c(O)c1,hydrate,3,,"[""Nc1cc(N2CCCC2)nc(N)[n+]1[O-]"",""Nc1ccc(C(=O)O)c(O)c1""]",ready_rdkit
external-52,external_64,52,Nc1cc(N2CCCC2)nc(N)[n+]1[O-],CC(C)(C)c1ccc(C(=O)O)cc1,salt,1,,"[""CC(C)(C)c1ccc(C(=O)O)cc1"",""Nc1cc(N2CCCC2)nc(N)[n+]1[O-]""]",ready_rdkit
external-58,external_64,58,Nc1cc(N2CCCC2)nc(N)[n+]1[O-],O=C(O)Cc1ccc(O)cc1,salt,1,,"[""Nc1cc(N2CCCC2)nc(N)[n+]1[O-]"",""O=C(O)Cc1ccc(O)cc1""]",ready_rdkit
external-59,external_64,59,Nc1cc(N2CCCC2)nc(N)[n+]1[O-],O=C(O)c1ccc(Cl)c(Cl)c1,cocrystal,2,,"[""Nc1cc(N2CCCC2)nc(N)[n+]1[O-]"",""O=C(O)c1ccc(Cl)c(Cl)c1""]",ready_rdkit
external-61,external_64,61,Nc1cc(N2CCCC2)nc(N)[n+]1[O-],O=C(O)c1c(O)cccc1O,cocrystal,2,,"[""Nc1cc(N2CCCC2)nc(N)[n+]1[O-]"",""O=C(O)c1c(O)cccc1O""]",ready_rdkit
external-62,external_64,62,Nc1cc(N2CCCC2)nc(N)[n+]1[O-],O=[N+]([O-])c1ccc(O)cc1Cl,failed,0,,"[""Nc1cc(N2CCCC2)nc(N)[n+]1[O-]"",""O=[N+]([O-])c1ccc(O)cc1Cl""]",ready_rdkit
