lock_id,identifier,reactant_A,reactant_B,review_status,review_notes
minoxidil-00,WIYXEL,,,pending,
minoxidil-01,BOFWEC,,,pending,
minoxidil-02,XAVTOG,,,pending,
minoxidil-03,NUYSIK,,,pending,
minoxidil-04,BOFVUR,,,pending,
minoxidil-10,BOFXAZ,,,pending,
minoxidil-11,WIYXIP,,,pending,
minoxidil-12,NUYRIJ,,,pending,
minoxidil-13,WIYWUA,,,pending,
minoxidil-14,NUYREF,,,pending,
minoxidil-15,CAYJUL,,,pending,
minoxidil-16,CAYJOF,,,pending,
minoxidil-17,UDABOU,,,pending,
minoxidil-18,BOFWAY,,,pending,
minoxidil-19,NUYROP,,,pending,
