task,stage,fine_tuning_pairs,runs,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std
binary,zero_shot,0,3,0.8862745098039215,0.02065814461343672,0.737114737114737,0.051218406294980194
binary,fine_tuned_learning_curve,8,3,0.884313725490196,0.00679235610811322,0.7259345592678925,0.01124888347383712
binary,fine_tuned_learning_curve,16,3,0.8901960784313725,0.008985442539129126,0.7594750928084261,0.03144649629683098
binary,fine_tuned_learning_curve,32,3,0.903921568627451,0.00679235610811322,0.7926702926702927,0.03031409666950338
binary,fine_tuned_learning_curve,48,3,0.8941176470588236,0.026956327617387258,0.8068721402054736,0.0455520885642668
binary,fine_tuned_full,136,3,0.8980392156862745,0.013584712216226504,0.8242251575584909,0.015542893054259214
four-class,zero_shot,0,3,0.5333333333333333,0.017970885078258194,0.3877795248078267,0.02767454551698004
four-class,fine_tuned_learning_curve,8,3,0.48627450980392156,0.02901695801362498,0.39294542415149153,0.041465991205795964
four-class,fine_tuned_learning_curve,16,3,0.5176470588235295,0.029411764705882387,0.49023461585892214,0.028422466736990767
four-class,fine_tuned_learning_curve,32,3,0.503921568627451,0.03018589082027579,0.5808489538373002,0.025143857653336453
four-class,fine_tuned_learning_curve,48,3,0.5588235294117647,0.026956327617387307,0.6661959962181937,0.02240514407033738
four-class,fine_tuned_full,136,3,0.6470588235294118,0.03578095606057776,0.733998574971568,0.03460559979346511
